n_inscripcion,nombre,fecha_nacimiento,sexo,comuna,disciplina
293,Agustín Fuentes Díaz,2007-06-28,M,Talcahuano,Fútbol
379,Catalina González Pérez,2010-10-16,F,Talcahuano,Fútbol
383,Diego Rojas Díaz,2011-03-16,M,Concepción,Fútbol
15,Benjamín Soto Araya,2008-09-03,M,Concepción,Natación
75,Diego Torres Soto,2012-05-28,M,Talcahuano,Ajedrez
35,Gabriel Araya Rodríguez,2007-04-16,M,Coronel,Natación
156,Emilia Sepúlveda Vega,2011-06-05,F,San Pedro de la Paz,Vóleibol
321,Tomás Silva Martínez,2010-09-06,M,Chiguayante,Atletismo
505,Diego González Fuentes,2010-05-20,M,Concepción,Atletismo
263,Isidora Rojas Vega,2009-08-28,F,Concepción,Vóleibol
38,Benjamín Rodríguez Torres,2011-11-16,M,Concepción,Fútbol
42,Lucas Hernández Sepúlveda,2009-07-19,M,Coronel,Ajedrez
513,Vicente Soto Hernández,2010-05-02,M,Penco,Ajedrez
377,Josefa Flores González,2009-11-12,F,Tomé,Atletismo
532,Javiera Muñoz Rojas,2010-01-26,F,Concepción,Fútbol
352,Vicente Vega López,2010-11-10,M,San Pedro de la Paz,Ajedrez
504,Isidora Rodríguez Díaz,2007-06-01,F,Tomé,Natación
556,Matías Espinoza González,2010-11-17,M,Concepción,Natación
176,Isidora Morales Hernández,2008-11-23,F,Chiguayante,Atletismo
371,Martín Díaz Contreras,2007-05-20,M,Chiguayante,Natación
481,Matías Espinoza Muñoz,2008-03-24,M,Hualpén,Fútbol
402,Benjamín Fuentes Vega,2007-07-05,M,Coronel,Vóleibol
149,Diego Araya Martínez,2010-11-04,M,Penco,Natación
199,Antonia Araya Hernández,2010-08-26,F,Hualpén,Ajedrez
523,Josefa Muñoz Morales,2010-06-03,F,Hualpén,Ajedrez
354,Josefa Torres Díaz,2007-02-12,F,Talcahuano,Fútbol
248,Javiera Sepúlveda Sepúlveda,2007-04-19,F,Penco,Atletismo
531,Tomás Martínez Muñoz,2010-01-02,M,Concepción,Natación
243,Josefa Vega Espinoza,2011-06-18,F,Tomé,Fútbol
53,Martín Rodríguez Rodríguez,2007-05-11,M,Coronel,Fútbol
336,Isidora Rojas Díaz,2012-01-06,F,Coronel,Vóleibol
264,Sofía Muñoz Pérez,2008-10-19,F,Tomé,Natación
525,Martina Vega Soto,2011-03-23,F,Hualpén,Fútbol
153,Isidora Martínez Flores,2010-10-19,F,Penco,Ajedrez
27,Matías Fuentes Sepúlveda,2007-09-17,M,Hualpén,Natación
409,Javiera González González,2008-12-17,F,Concepción,Natación
308,Vicente Hernández López,2007-11-22,M,Hualpén,Atletismo
147,Catalina Vega Silva,2012-01-28,F,Hualpén,Fútbol
168,Matías Vega Hernández,2011-09-09,M,Talcahuano,Natación
500,Joaquín Torres Morales,2012-09-06,M,Tomé,Vóleibol
204,Javiera Morales Hernández,2008-04-17,F,Concepción,Ajedrez
360,Isidora González Fuentes,2008-12-08,F,Concepción,Atletismo
67,Lucas Rojas Sepúlveda,2011-04-08,M,Talcahuano,Fútbol
10,Gabriel Torres Rojas,2011-11-22,M,Concepción,Atletismo
284,Emilia Silva González,2009-08-11,F,Talcahuano,Fútbol
80,Sofía Flores Contreras,2008-01-23,F,San Pedro de la Paz,Natación
322,Catalina Silva Torres,2011-02-16,F,Hualpén,Fútbol
288,Javiera Hernández Torres,2012-05-28,F,Talcahuano,Fútbol
554,Lucas Flores Silva,2011-04-16,M,Concepción,Natación
363,Diego Torres Silva,2008-03-24,M,Coronel,Vóleibol
91,Florencia Vega Araya,2009-01-15,F,Tomé,Atletismo
318,Joaquín Contreras Rojas,2008-09-05,M,Hualpén,Atletismo
56,Tomás Hernández Pérez,2012-05-05,M,Penco,Fútbol
152,Florencia Vega Fuentes,2007-02-26,F,Talcahuano,Vóleibol
533,Vicente Díaz Morales,2007-12-03,M,Concepción,Natación
291,Vicente Muñoz Vega,2007-02-19,M,Concepción,Atletismo
100,Lucas Soto Silva,2011-08-10,M,Concepción,Ajedrez
192,Benjamín González Silva,2007-05-24,M,Chiguayante,Ajedrez
476,Amanda Araya Flores,2010-10-04,F,Penco,Ajedrez
415,Joaquín López Soto,2010-08-13,M,Hualpén,Vóleibol
499,Amanda Díaz Fuentes,2008-07-22,F,Chiguayante,Vóleibol
55,Amanda Muñoz Soto,2011-04-17,F,Penco,Ajedrez
229,Florencia Torres López,2008-07-18,F,Concepción,Ajedrez
61,Sofía López Díaz,2007-07-21,F,Chiguayante,Atletismo
434,Martina Rodríguez Rojas,2009-09-17,F,San Pedro de la Paz,Vóleibol
224,Diego Contreras Araya,2007-09-16,M,Chiguayante,Ajedrez
253,Agustín Sepúlveda Hernández,2007-05-26,M,Penco,Atletismo
433,Josefa González Araya,2008-07-20,F,Talcahuano,Vóleibol
445,Florencia Contreras López,2007-08-18,F,Chiguayante,Fútbol
274,Agustín Pérez Morales,2008-07-20,M,Coronel,Atletismo
435,Agustín Martínez Rodríguez,2010-12-24,M,Coronel,Ajedrez
543,Joaquín Silva Araya,2010-06-18,M,Hualpén,Ajedrez
338,Agustín Pérez Hernández,2009-07-24,M,San Pedro de la Paz,Vóleibol
373,Tomás Martínez Díaz,2012-05-23,M,San Pedro de la Paz,Vóleibol
287,Diego González Vega,2012-06-03,M,Chiguayante,Fútbol
328,Martina Morales Vega,2010-06-24,F,San Pedro de la Paz,Vóleibol
509,Lucas Díaz Araya,2009-02-14,M,Talcahuano,Vóleibol
408,Amanda Araya Martínez,2009-03-06,F,Hualpén,Ajedrez
418,Sofía Espinoza Vega,2011-09-20,F,San Pedro de la Paz,Ajedrez
164,Benjamín López Hernández,2012-07-26,M,Penco,Atletismo
457,Diego González Flores,2012-03-25,M,Talcahuano,Natación
561,Josefa Contreras Hernández,2009-02-01,F,Concepción,Vóleibol
278,Benjamín Espinoza Fuentes,2008-05-10,M,Concepción,Ajedrez
534,Sofía López Torres,2011-08-02,F,Hualpén,Vóleibol
326,Sofía Martínez Sepúlveda,2008-10-07,F,Concepción,Ajedrez
123,Antonia Torres Torres,2007-10-28,F,Concepción,Fútbol
520,Matías Pérez Rodríguez,2012-12-09,M,Talcahuano,Vóleibol
190,Javiera Rojas Martínez,2009-09-24,F,Hualpén,Atletismo
512,Catalina Rojas Soto,2007-06-02,F,San Pedro de la Paz,Atletismo
467,Emilia Espinoza Pérez,2008-07-16,F,Penco,Vóleibol
65,Tomás Espinoza López,2012-03-06,M,Chiguayante,Fútbol
495,Matías Rodríguez Pérez,2012-12-12,M,Concepción,Natación
240,Josefa Martínez Soto,2011-08-22,F,Talcahuano,Atletismo
456,Tomás Fuentes Martínez,2011-10-14,M,Concepción,Fútbol
417,Diego Muñoz López,2007-05-23,M,San Pedro de la Paz,Natación
175,Martina Soto Silva,2008-03-10,F,Concepción,Vóleibol
314,Diego Fuentes Torres,2011-05-15,M,Hualpén,Vóleibol
564,Isidora Díaz Fuentes,2012-08-27,F,San Pedro de la Paz,Fútbol
99,Javiera Torres Rodríguez,2009-05-11,F,Hualpén,Ajedrez
210,Josefa Contreras Silva,2012-08-13,F,San Pedro de la Paz,Fútbol
461,Josefa Díaz Flores,2011-09-21,F,Talcahuano,Natación
191,Martín Díaz Rodríguez,2011-04-02,M,Concepción,Atletismo
6,Isidora Silva Morales,2007-05-23,F,Talcahuano,Natación
266,Matías González Hernández,2007-10-25,M,San Pedro de la Paz,Vóleibol
428,Benjamín Pérez Sepúlveda,2012-05-17,M,Tomé,Ajedrez
444,Catalina Muñoz Torres,2007-02-24,F,Chiguayante,Natación
295,Martín Espinoza Torres,2008-11-19,M,Hualpén,Natación
86,Joaquín Muñoz Rodríguez,2011-08-10,M,Concepción,Vóleibol
208,Catalina Flores Flores,2010-04-16,F,Chiguayante,Ajedrez
181,Amanda Martínez Fuentes,2010-01-09,F,Chiguayante,Atletismo
537,Benjamín Soto Muñoz,2012-04-27,M,Concepción,Ajedrez
188,Diego López Pérez,2011-09-25,M,Chiguayante,Vóleibol
173,Gabriel Martínez Contreras,2008-03-04,M,Tomé,Atletismo
286,Tomás Rodríguez González,2008-12-23,M,San Pedro de la Paz,Vóleibol
183,Isidora Pérez Contreras,2011-01-19,F,Chiguayante,Fútbol
462,Vicente Hernández Morales,2012-08-09,M,San Pedro de la Paz,Ajedrez
535,Catalina Torres Martínez,2011-03-08,F,Coronel,Natación
527,Isidora Hernández Vega,2009-02-12,F,San Pedro de la Paz,Atletismo
378,Josefa Silva Soto,2009-10-18,F,Tomé,Ajedrez
218,Amanda Muñoz Muñoz,2007-04-18,F,Talcahuano,Ajedrez
348,Martina Rojas Rojas,2007-04-13,F,Concepción,Fútbol
399,Florencia Morales Díaz,2009-06-24,F,Coronel,Ajedrez
82,Diego López Hernández,2010-08-17,M,Concepción,Vóleibol
466,Josefa Fuentes Rojas,2009-12-09,F,Concepción,Fútbol
142,Josefa Flores Rojas,2012-09-02,F,Concepción,Atletismo
7,Emilia Díaz Martínez,2010-07-17,F,Talcahuano,Fútbol
498,Matías López Muñoz,2010-12-13,M,Talcahuano,Atletismo
247,Martina Soto González,2010-03-17,F,Concepción,Fútbol
252,Vicente Rodríguez Sepúlveda,2010-06-01,M,Chiguayante,Fútbol
325,Catalina Díaz Flores,2007-10-23,F,Tomé,Fútbol
507,Diego Espinoza Vega,2012-11-14,M,Coronel,Vóleibol
306,Diego Muñoz Muñoz,2007-07-12,M,Concepción,Vóleibol
305,Javiera Rojas Martínez,2008-04-21,F,Talcahuano,Natación
165,Emilia Araya Fuentes,2007-10-07,F,Talcahuano,Vóleibol
421,Florencia Silva Rodríguez,2012-02-23,F,Concepción,Vóleibol
463,Florencia Muñoz Sepúlveda,2011-01-05,F,Tomé,Natación
238,Javiera Vega Contreras,2012-11-04,F,Hualpén,Fútbol
126,Benjamín Silva Sepúlveda,2008-11-06,M,Hualpén,Natación
511,Benjamín Morales López,2009-06-12,M,Coronel,Ajedrez
282,Martín Araya Espinoza,2009-10-05,M,Concepción,Vóleibol
124,Agustín Pérez Silva,2009-01-08,M,Concepción,Atletismo
333,Antonia González Flores,2012-03-05,F,Tomé,Natación
359,Lucas Rodríguez Torres,2009-01-20,M,Concepción,Ajedrez
526,Catalina Araya Araya,2011-07-15,F,Talcahuano,Atletismo
12,Lucas Soto Pérez,2011-06-07,M,Penco,Natación
319,Antonia Contreras López,2011-09-18,F,Penco,Ajedrez
88,Josefa Torres González,2007-09-08,F,Penco,Natación
443,Gabriel González Muñoz,2010-01-23,M,Concepción,Atletismo
364,Martín Soto Soto,2012-10-08,M,Talcahuano,Fútbol
566,Javiera González Espinoza,2012-12-07,F,Penco,Atletismo
77,Joaquín Pérez Contreras,2008-06-16,M,Tomé,Ajedrez
177,Vicente Fuentes Torres,2008-12-11,M,Hualpén,Atletismo
198,Javiera Vega Morales,2012-11-23,F,Chiguayante,Ajedrez
106,Josefa Espinoza González,2007-01-12,F,Concepción,Vóleibol
97,Gabriel González Sepúlveda,2007-05-17,M,San Pedro de la Paz,Natación
459,Amanda Silva López,2009-06-11,F,Tomé,Ajedrez
269,Vicente Muñoz Araya,2008-01-26,M,San Pedro de la Paz,Ajedrez
121,Benjamín Espinoza Contreras,2007-02-02,M,Chiguayante,Natación
508,Josefa Araya González,2007-06-10,F,Chiguayante,Vóleibol
249,Sofía Sepúlveda Muñoz,2012-05-06,F,Chiguayante,Ajedrez
372,Benjamín Hernández Soto,2007-09-27,M,Hualpén,Fútbol
160,Javiera Araya Díaz,2009-03-12,F,Chiguayante,Fútbol
347,Joaquín Morales Torres,2011-06-03,M,San Pedro de la Paz,Fútbol
200,Catalina Sepúlveda Rojas,2010-03-23,F,Concepción,Fútbol
8,Antonia Espinoza Fuentes,2011-11-04,F,Tomé,Vóleibol
485,Matías Soto Flores,2008-07-12,M,Chiguayante,Vóleibol
521,Gabriel Rojas Hernández,2007-11-19,M,Coronel,Ajedrez
403,Amanda Morales Soto,2008-02-18,F,Coronel,Vóleibol
381,Javiera Rojas Morales,2008-07-17,F,Chiguayante,Ajedrez
550,Diego Espinoza Espinoza,2009-08-10,M,Talcahuano,Atletismo
391,Catalina González Morales,2011-03-23,F,Coronel,Ajedrez
442,Antonia Sepúlveda Espinoza,2011-05-24,F,San Pedro de la Paz,Vóleibol
70,Gabriel Rojas González,2012-07-22,M,Talcahuano,Natación
47,Amanda Sepúlveda Torres,2008-11-03,F,Concepción,Atletismo
197,Martín López Morales,2008-11-25,M,Talcahuano,Atletismo
453,Sofía Hernández Torres,2009-12-04,F,Coronel,Fútbol
59,Antonia Hernández Vega,2011-05-26,F,Concepción,Vóleibol
294,Emilia Rodríguez Hernández,2009-09-01,F,Tomé,Ajedrez
353,Florencia Rojas Muñoz,2007-02-02,F,Hualpén,Atletismo
524,Agustín Espinoza Hernández,2010-10-26,M,Chiguayante,Fútbol
170,Emilia Vega Rojas,2010-05-14,F,Hualpén,Ajedrez
478,Benjamín Sepúlveda Soto,2012-03-01,M,Tomé,Natación
484,Martina Martínez Araya,2009-08-13,F,Coronel,Atletismo
