id_matricula,rut_estudiante,nombre_estudiante,fecha_nacimiento,sexo,comuna,curso,promedio_notas,asistencia_pct,programa_apoyo,necesidad_educativa,nombre_apoderado,telefono_apoderado
M-7190,23310532-0,Benjamín Espinoza Fuentes,2008-05-10,M,Concepción,3º B,6.4,74,Ninguno,No,Martina Fuentes,919277594
M-7191,23373984-2,Agustín Muñoz Morales,2007-03-11,M,San Pedro de la Paz,3º C,6.9,94,Ninguno,No,Javiera Soto,990661319
M-7192,20339353-7,Lucas Pérez Sepúlveda,2009-07-05,M,Concepción,3º B,5.0,98,Apoyo psicosocial,TDAH,Martina Rodríguez,995739149
M-7193,21300038-9,Sofía López Díaz,2007-07-21,F,Chiguayante,4º C,5.2,84,Beca alimentación,No,Matías López,923178270
M-7194,23008601-5,Vicente Morales Torres,2012-06-04,M,Concepción,4º B,5.4,89,Programa de integración (PIE),Discapacidad auditiva,Lucas Fuentes,990734710
M-7195,24429920-7,Amanda Silva López,2009-06-11,F,Tomé,3º B,5.5,69,Retención escolar,No,Diego González,911870171
M-7196,23521194-2,Antonia Torres Torres,2007-10-28,F,Concepción,3º A,4.4,77,Ninguno,No,Martín Fuentes,926476750
M-7197,21362523-0,Sofía Martínez López,2012-01-01,F,San Pedro de la Paz,3º A,5.8,100,Ninguno,No,Amanda Morales,967413645
M-7198,20744354-7,Joaquín Soto Contreras,2007-06-01,M,Hualpén,1º A,5.1,73,Programa de integración (PIE),No,Amanda Sepúlveda,951372912
M-7199,23225752-6,Gabriel Rodríguez Torres,2012-09-06,M,Hualpén,2º A,5.1,95,Beca alimentación,No,Isidora Muñoz,941814699
M-7200,23006001-6,Emilia Silva Muñoz,2012-11-15,F,Tomé,1º A,4.6,100,Ninguno,Trastorno del lenguaje,Javiera Sepúlveda,926265495
M-7201,21998412-7,Tomás Espinoza Sepúlveda,2008-06-10,M,Penco,2º A,5.8,100,Apoyo psicosocial,No,Gabriel Hernández,950655111
M-7202,21993944-K,Benjamín Silva Espinoza,2012-08-15,M,San Pedro de la Paz,1º C,6.1,100,Beca alimentación,No,Benjamín Vega,913670574
M-7203,24484309-8,Gabriel Silva Hernández,2009-06-12,M,Hualpén,4º B,4.8,91,Beca alimentación,No,Isidora López,925593428
M-7204,21205296-2,Emilia Vega Contreras,2011-01-08,F,Talcahuano,4º A,5.9,81,Programa de integración (PIE),No,Florencia Muñoz,993341575
M-7205,23879147-8,Joaquín Muñoz López,2009-09-19,M,Chiguayante,2º A,4.8,82,Ninguno,No,Diego Muñoz,956051284
M-7206,21975432-6,Benjamín Sepúlveda Contreras,2009-06-24,M,San Pedro de la Paz,2º C,6.1,100,Ninguno,No,Florencia Fuentes,931800093
M-7207,23722255-0,Javiera Silva Espinoza,2008-05-18,F,Talcahuano,3º C,5.0,67,Apoyo psicosocial,No,Emilia Fuentes,943426172
M-7208,20564796-K,Benjamín Sepúlveda Soto,2012-03-01,M,Tomé,1º C,4.6,94,Beca alimentación,No,Vicente Hernández,947679085
M-7209,24280563-6,Benjamín Pérez Sepúlveda,2007-08-01,M,Penco,4º C,6.8,95,Programa de integración (PIE),No,Javiera Torres,957859011
M-7210,20721774-1,Gabriel Martínez Rodríguez,2009-05-02,M,Penco,2º A,4.3,78,Beca alimentación,No,Benjamín Rodríguez,915219523
M-7211,20075693-0,Catalina Espinoza Pérez,2010-05-10,F,Talcahuano,3º C,5.7,97,Apoyo psicosocial,No,Josefa López,972847828
M-7212,20770010-8,Lucas Araya Araya,2010-09-10,M,Tomé,3º A,5.9,99,Ninguno,No,Antonia Martínez,922130029
M-7213,22884122-2,Emilia Fuentes Muñoz,2010-12-15,F,Chiguayante,4º B,4.7,84,Ninguno,No,Benjamín Martínez,938722662
M-7214,21521535-8,Vicente Muñoz Morales,2012-01-02,M,Talcahuano,3º C,6.0,95,Ninguno,Discapacidad auditiva,Antonia Torres,926476015
M-7215,23741058-6,Benjamín Araya Flores,2012-06-09,M,Talcahuano,2º A,4.9,80,Beca alimentación,No,Emilia Araya,921500168
M-7216,23186328-7,Martín Díaz Hernández,2008-03-08,M,Tomé,4º C,4.9,88,Beca alimentación,No,Martín Hernández,987346243
M-7217,22249934-4,Sofía Fuentes Pérez,2007-07-20,F,Hualpén,4º A,4.5,99,Apoyo psicosocial,TDAH,Tomás Morales,916373847
M-7218,21424078-2,Diego Silva Vega,2007-09-03,M,Talcahuano,4º B,5.1,88,Apoyo psicosocial,No,Tomás Araya,999725809
M-7219,20523466-5,Lucas Espinoza Fuentes,2010-02-23,M,Talcahuano,2º C,4.5,88,Programa de integración (PIE),TDAH,Joaquín Flores,963579968
M-7220,20433157-8,Josefa Morales Martínez,2011-07-25,F,Hualpén,2º B,5.5,84,Ninguno,No,Tomás Pérez,975451135
M-7221,21152578-6,Tomás Martínez Díaz,2012-05-23,M,San Pedro de la Paz,1º B,4.8,84,Ninguno,No,Benjamín Soto,956654320
M-7222,20731966-8,Isidora Pérez Flores,2010-09-06,F,Concepción,3º A,4.3,100,Programa de integración (PIE),No,Tomás Torres,941346183
M-7223,21087402-7,Vicente Vega Soto,2010-11-19,M,Concepción,2º B,4.8,100,Beca alimentación,Discapacidad auditiva,Martín Espinoza,962080489
M-7224,20493855-3,Gabriel Flores Rodríguez,2010-08-08,M,Penco,3º B,5.0,87,Ninguno,No,Benjamín Contreras,971319242
M-7225,23675419-2,Joaquín Contreras Muñoz,2012-08-26,M,San Pedro de la Paz,1º C,4.6,93,Beca alimentación,Trastorno del lenguaje,Joaquín Hernández,999650706
M-7226,23817515-7,Amanda Torres Vega,2012-09-22,F,Hualpén,4º C,7.0,100,Ninguno,No,Benjamín Espinoza,942005485
M-7227,23649465-4,Catalina Vega Silva,2012-01-28,F,Hualpén,4º B,5.5,87,Beca alimentación,No,Javiera Vega,969917534
M-7228,20433553-0,Javiera Soto Vega,2010-06-12,F,Coronel,1º C,5.3,100,Beca alimentación,No,Amanda Sepúlveda,926947033
M-7229,21874264-2,Lucas Rodríguez Flores,2008-10-04,M,San Pedro de la Paz,2º B,4.9,92,Beca alimentación,No,Josefa Martínez,989434828
M-7230,23642357-9,Javiera Flores Sepúlveda,2009-07-09,F,Talcahuano,4º C,4.4,77,Beca alimentación,No,Joaquín González,925880937
M-7231,24483466-8,Antonia Hernández Vega,2011-05-26,F,Concepción,3º C,6.1,100,Beca alimentación,No,Sofía Sepúlveda,972205012
M-7232,23727283-3,Matías Araya González,2010-04-11,M,Chiguayante,1º C,6.3,93,Apoyo psicosocial,No,Isidora Fuentes,989824659
M-7233,23844783-1,Martín Rodríguez Hernández,2009-02-03,M,Talcahuano,4º C,5.4,94,Beca alimentación,Discapacidad auditiva,Sofía Flores,918366036
M-7234,23366607-1,Emilia Espinoza Pérez,2008-07-16,F,Penco,3º B,5.4,85,Programa de integración (PIE),No,Joaquín Espinoza,955502917
M-7235,24373836-3,Agustín Vega Contreras,2011-03-07,M,Penco,3º A,4.1,93,Beca alimentación,No,Emilia Vega,963842900
M-7236,21502657-1,Amanda Torres Vega,2012-05-03,F,Chiguayante,3º C,5.7,91,Beca alimentación,TDAH,Sofía Rojas,960476403
M-7237,20355527-8,Lucas Martínez Espinoza,2010-07-02,M,Hualpén,3º A,5.9,92,Ninguno,No,Amanda Torres,928893173
M-7238,22716330-1,Isidora Espinoza González,2008-10-24,F,Coronel,3º C,4.5,88,Ninguno,No,Matías Soto,925403905
M-7239,21663442-7,Gabriel Morales Silva,2008-10-06,M,Tomé,3º A,6.2,83,Ninguno,Discapacidad visual,Tomás Vega,927512604
M-7240,21462134-4,Benjamín Hernández Soto,2007-09-27,M,Hualpén,4º C,4.4,90,Apoyo psicosocial,Trastorno del lenguaje,Martina Díaz,986258598
M-7241,21145105-7,Gabriel Soto Espinoza,2010-07-22,M,Penco,3º B,5.4,100,Apoyo psicosocial,Trastorno del lenguaje,Benjamín Morales,917360829
M-7242,24379366-6,Florencia Pérez Rojas,2007-10-27,F,Hualpén,2º B,5.2,95,Retención escolar,No,Isidora Díaz,962423150
M-7243,23908925-4,Benjamín Fuentes Flores,2011-07-19,M,Concepción,4º A,5.4,95,Retención escolar,No,Matías Soto,958813902
M-7244,22058590-1,Antonia Rodríguez Pérez,2008-01-08,F,Talcahuano,2º A,6.2,73,Ninguno,No,Amanda Silva,931979259
M-7245,23610542-9,Lucas Soto Hernández,2010-10-11,M,Talcahuano,2º B,6.3,87,Programa de integración (PIE),No,Martín Flores,942650761
M-7246,23839712-5,Emilia Hernández Espinoza,2009-08-12,F,Concepción,2º C,5.0,98,Beca alimentación,No,Catalina Torres,932910418
M-7247,20465473-3,Agustín Vega López,2007-09-14,M,Coronel,2º A,5.5,88,Retención escolar,TDAH,Matías Contreras,929777704
M-7248,20537300-2,Matías Rojas Torres,2010-10-20,M,Chiguayante,3º A,5.9,94,Apoyo psicosocial,No,Emilia López,959466375
M-7249,21988254-5,Antonia Díaz Araya,2012-10-18,F,Hualpén,3º C,6.6,99,Ninguno,No,Amanda Díaz,922602676
M-7250,20939972-3,Vicente Díaz Morales,2007-12-03,M,Concepción,3º C,6.1,89,Ninguno,No,Martín Espinoza,993173875
M-7251,20897828-2,Sofía López González,2010-09-19,F,Concepción,4º C,6.0,83,Programa de integración (PIE),No,Joaquín Martínez,936950264
M-7252,23555131-K,Lucas Hernández Silva,2012-07-02,M,Coronel,3º A,5.4,95,Retención escolar,No,Emilia Contreras,988833401
M-7253,21942383-4,Javiera Morales Araya,2010-02-13,F,Chiguayante,4º A,4.5,89,Ninguno,No,Javiera Morales,978796867
M-7254,22581660-K,Amanda Silva Silva,2010-09-06,F,Hualpén,4º B,4.3,100,Ninguno,No,Tomás Rojas,981213682
M-7255,23866096-9,Amanda Hernández López,2007-02-09,F,San Pedro de la Paz,4º B,5.4,90,Ninguno,No,Josefa Silva,996460967
M-7256,21200471-2,Catalina Pérez Araya,2009-04-01,F,Tomé,2º B,5.4,86,Retención escolar,No,Javiera Sepúlveda,928419921
M-7257,21031540-0,Catalina González Pérez,2010-10-16,F,Talcahuano,2º A,4.6,93,Ninguno,No,Martín Espinoza,913659229
M-7258,22939958-2,Benjamín Contreras Rodríguez,2007-12-20,M,Concepción,1º B,6.3,89,Apoyo psicosocial,TDAH,Josefa Hernández,937364722
M-7259,20360485-6,Javiera Espinoza Contreras,2007-11-12,F,Talcahuano,3º C,6.3,72,Ninguno,No,Benjamín Fuentes,984173487
M-7260,22580046-0,Amanda Díaz Fuentes,2008-07-22,F,Chiguayante,1º C,6.1,100,Programa de integración (PIE),No,Catalina González,962127675
M-7261,24245677-1,Isidora Rodríguez Soto,2010-03-05,F,Penco,2º C,5.6,89,Ninguno,No,Diego Muñoz,916746156
M-7262,23553068-1,Josefa Muñoz Morales,2010-06-03,F,Hualpén,3º A,5.4,75,Ninguno,Discapacidad auditiva,Gabriel Vega,946838155
M-7263,23620875-9,Agustín Fuentes Vega,2008-06-15,M,Chiguayante,4º A,6.2,85,Apoyo psicosocial,No,Javiera Soto,942729899
M-7264,21218192-4,Florencia Contreras González,2007-01-18,F,Chiguayante,3º C,4.9,86,Ninguno,No,Isidora Soto,959579705
M-7265,20688801-4,Josefa Sepúlveda Contreras,2009-09-24,F,Penco,3º C,5.3,95,Apoyo psicosocial,No,Florencia Rojas,949849748
M-7266,24148109-8,Sofía González Vega,2009-12-03,F,Concepción,1º C,6.0,95,Apoyo psicosocial,No,Agustín Flores,917371634
M-7267,22855190-9,Agustín Espinoza Contreras,2012-03-01,M,Talcahuano,2º C,6.2,69,Ninguno,Trastorno del lenguaje,Isidora Martínez,916273877
M-7268,22174945-2,Tomás Fuentes Araya,2009-08-10,M,Talcahuano,1º B,5.2,81,Beca alimentación,No,Matías Espinoza,951485293
M-7269,22899160-7,Sofía Díaz Rodríguez,2009-01-09,F,Penco,1º C,6.5,86,Ninguno,No,Vicente Soto,941642931
M-7270,21070895-K,Antonia Espinoza Hernández,2007-01-05,F,Chiguayante,1º B,4.5,100,Ninguno,No,Antonia González,982905408
M-7271,24439540-0,Agustín Espinoza Rojas,2009-11-23,M,Concepción,2º B,4.3,90,Ninguno,No,Javiera Fuentes,966811264
M-7272,22993354-6,Catalina Contreras Pérez,2007-04-03,F,Talcahuano,1º A,4.9,88,Retención escolar,No,Diego Vega,947583017
M-7273,21919898-9,Benjamín Rojas Espinoza,2011-08-24,M,Concepción,1º B,6.8,88,Apoyo psicosocial,No,Sofía Flores,957288603
M-7274,22600085-9,Florencia Muñoz Hernández,2010-02-12,F,Concepción,3º B,4.3,82,Ninguno,No,Joaquín Fuentes,950399287
M-7275,20527613-9,Catalina Rodríguez Contreras,2012-07-28,F,Hualpén,1º A,5.9,98,Apoyo psicosocial,No,Agustín Flores,974388070
M-7276,21897278-8,Matías Espinoza González,2010-11-17,M,Concepción,2º A,5.7,93,Ninguno,No,Benjamín Fuentes,953214187
M-7277,20365235-4,Martina Silva Silva,2012-06-07,F,Talcahuano,4º A,5.9,87,Ninguno,Trastorno del lenguaje,Tomás Rojas,970187321
M-7278,23563454-1,Martina Araya Soto,2007-11-09,F,Talcahuano,1º A,4.6,70,Programa de integración (PIE),No,Vicente Espinoza,912676328
M-7279,21305986-3,Joaquín Muñoz Rojas,2011-12-27,M,Concepción,4º A,5.8,83,Retención escolar,No,Martina Díaz,910423702
M-7280,20285196-5,Tomás Fuentes Soto,2010-10-07,M,Penco,1º C,6.0,89,Ninguno,No,Catalina Espinoza,960162710
M-7281,21569785-9,Catalina Martínez Hernández,2009-08-02,F,Coronel,1º C,5.9,100,Programa de integración (PIE),Trastorno del lenguaje,Emilia Flores,928026144
M-7282,20402698-8,Amanda Soto Vega,2007-09-24,F,San Pedro de la Paz,4º B,4.5,85,Ninguno,No,Amanda Vega,927802356
M-7283,20547403-8,Emilia González Espinoza,2012-05-08,F,Chiguayante,3º A,5.5,89,Ninguno,No,Lucas Araya,965515569
M-7284,21658770-4,Vicente Rodríguez Sepúlveda,2010-06-01,M,Chiguayante,4º A,5.5,88,Retención escolar,No,Agustín Torres,976161539
M-7285,22097324-3,Diego Espinoza González,2008-12-13,M,Talcahuano,3º A,6.3,100,Ninguno,No,Martina González,926499179
M-7286,23235969-8,Emilia Silva Silva,2011-07-05,F,Hualpén,2º B,5.6,83,Ninguno,No,Isidora Rodríguez,977453485
M-7287,20619687-2,Lucas Muñoz González,2007-12-22,M,Chiguayante,4º B,5.9,90,Ninguno,No,Vicente Vega,911173678
M-7288,22016655-0,Matías Espinoza Espinoza,2008-04-20,M,Hualpén,2º A,5.8,77,Beca alimentación,Discapacidad visual,Martín González,958305075
M-7289,20956632-8,Benjamín Morales Contreras,2010-02-12,M,Hualpén,4º A,6.4,88,Retención escolar,No,Tomás Rojas,936950892
M-7290,23238873-6,Martín Contreras Espinoza,2011-01-06,M,Talcahuano,1º B,5.5,76,Ninguno,TDAH,Tomás Espinoza,994886595
M-7291,20669712-K,Gabriel González Flores,2007-04-11,M,Concepción,1º C,5.5,90,Ninguno,No,Agustín Torres,921145202
M-7292,23850640-4,Martín Muñoz Sepúlveda,2008-03-24,M,Hualpén,3º C,6.4,88,Apoyo psicosocial,TDAH,Emilia Sepúlveda,969719917
M-7293,20281036-3,Vicente Soto Hernández,2010-05-02,M,Penco,3º B,6.7,87,Ninguno,TDAH,Tomás Morales,966769535
M-7294,21796073-5,Gabriel Torres Sepúlveda,2008-10-19,M,Hualpén,3º B,5.4,81,Beca alimentación,No,Diego Contreras,948472486
M-7295,23907727-2,Lucas Sepúlveda Hernández,2011-11-16,M,Chiguayante,2º A,4.6,78,Ninguno,No,Tomás Sepúlveda,918934769
M-7296,22658497-4,Vicente Hernández Espinoza,2009-05-03,M,San Pedro de la Paz,2º C,5.5,89,Apoyo psicosocial,No,Josefa Silva,966039899
M-7297,21852593-5,Emilia Flores Rojas,2008-08-23,F,Coronel,4º C,6.6,88,Ninguno,No,Catalina Flores,951522059
M-7298,24052193-2,Tomás Rodríguez González,2008-12-23,M,San Pedro de la Paz,3º B,5.6,100,Retención escolar,No,Amanda Soto,918244188
M-7299,22637953-K,Emilia Vega Rojas,2010-05-14,F,Hualpén,1º A,5.2,92,Apoyo psicosocial,No,Sofía Muñoz,967592921
M-7300,24308309-K,Lucas Espinoza Pérez,2007-04-19,M,Penco,4º B,5.1,86,Retención escolar,No,Catalina Fuentes,985235917
M-7301,24342019-3,Agustín Muñoz Rojas,2008-01-07,M,Concepción,4º B,4.9,78,Programa de integración (PIE),No,Martín Torres,933544111
M-7302,21148910-0,Matías Flores Fuentes,2010-09-09,M,Penco,1º C,6.0,100,Beca alimentación,No,Sofía Sepúlveda,993344243
M-7303,23366356-0,Isidora Muñoz Flores,2012-02-10,F,Tomé,1º A,5.5,95,Apoyo psicosocial,No,Vicente Rojas,962167365
M-7304,22065639-6,Tomás Pérez Torres,2012-10-04,M,Concepción,3º C,5.5,93,Retención escolar,No,Antonia Rojas,913785941
M-7305,23632499-6,Agustín Contreras Hernández,2009-04-04,M,Penco,3º C,5.6,92,Apoyo psicosocial,No,Javiera Soto,946282702
M-7306,22139421-2,Vicente Soto Pérez,2008-11-14,M,Concepción,4º A,5.6,77,Ninguno,No,Martín González,992461609
M-7307,21786422-1,Joaquín Pérez Contreras,2008-06-16,M,Tomé,3º A,5.6,93,Ninguno,No,Emilia Rojas,948547127
M-7308,21945040-8,Joaquín Soto González,2012-01-25,M,Penco,3º C,5.6,80,Programa de integración (PIE),No,Amanda Rojas,922306728
M-7309,24246099-K,Diego Espinoza Martínez,2012-11-26,M,Talcahuano,3º C,6.1,96,Ninguno,No,Isidora Soto,922348866
M-7310,21890273-9,Isidora Torres Contreras,2010-02-24,F,San Pedro de la Paz,3º C,5.1,100,Ninguno,No,Josefa Pérez,950513895
M-7311,20848852-8,Vicente González Díaz,2010-02-22,M,Talcahuano,2º C,4.9,100,Ninguno,No,Diego Sepúlveda,990842451
M-7312,22200476-0,Gabriel Silva Flores,2007-05-17,M,Concepción,3º C,5.7,81,Programa de integración (PIE),No,Martín González,978243268
M-7313,20686287-2,Martín Araya Espinoza,2009-10-05,M,Concepción,4º B,4.3,89,Beca alimentación,No,Joaquín Soto,996544474
M-7314,20504322-3,Martín Muñoz Morales,2007-03-08,M,Talcahuano,4º A,4.6,86,Beca alimentación,No,Benjamín Muñoz,963186278
M-7315,24335933-8,Antonia Rodríguez Morales,2011-08-07,F,Penco,4º A,4.6,100,Programa de integración (PIE),No,Isidora Vega,911931144
M-7316,22296798-4,Javiera Rodríguez Torres,2007-01-15,F,Chiguayante,2º A,6.0,96,Beca alimentación,No,Vicente Vega,973641447
M-7317,23753915-5,Amanda Flores Rodríguez,2009-07-27,F,Talcahuano,2º C,5.3,89,Ninguno,No,Martina Sepúlveda,930068892
M-7318,22426331-3,Agustín Sepúlveda Silva,2008-04-22,M,Penco,3º C,6.3,97,Ninguno,No,Gabriel Silva,928548790
M-7319,20886597-6,Josefa Rodríguez Silva,2012-08-13,F,Concepción,2º A,5.0,79,Ninguno,Trastorno del lenguaje,Josefa Espinoza,985591664
M-7320,22837332-6,Amanda Martínez Vega,2008-02-20,F,Talcahuano,2º A,6.1,88,Ninguno,No,Lucas Araya,919716172
M-7321,23253492-9,Agustín Fuentes Díaz,2007-06-28,M,Talcahuano,1º C,5.8,88,Ninguno,No,Vicente Díaz,978050064
M-7322,23877054-3,Matías Espinoza Muñoz,2011-09-07,M,Concepción,1º B,5.4,86,Ninguno,No,Antonia Sepúlveda,967709647
M-7323,23424695-5,Gabriel Soto López,2012-06-28,M,Talcahuano,3º A,4.4,83,Beca alimentación,No,Diego Espinoza,990697305
M-7324,20766373-3,Lucas Contreras Silva,2012-06-19,M,Talcahuano,2º A,4.8,95,Beca alimentación,No,Agustín Rojas,962994826
M-7325,20888353-2,Javiera González González,2008-12-17,F,Concepción,2º B,5.7,95,Apoyo psicosocial,No,Benjamín Torres,930611282
M-7326,21910259-0,Catalina Muñoz Torres,2007-02-24,F,Chiguayante,2º B,4.4,86,Programa de integración (PIE),No,Amanda López,952356333
M-7327,21868018-3,Gabriel Martínez Contreras,2012-08-16,M,Talcahuano,3º A,5.8,100,Ninguno,No,Vicente Torres,974883089
M-7328,20983477-2,Martín López Morales,2008-11-25,M,Talcahuano,3º C,6.0,94,Beca alimentación,No,Tomás González,972836812
M-7329,23262661-0,Amanda Hernández Fuentes,2010-06-13,F,Tomé,2º C,4.3,100,Ninguno,No,Florencia Muñoz,941111869
M-7330,22430678-0,Catalina Soto Vega,2007-09-15,F,Talcahuano,4º C,5.4,87,Retención escolar,No,Amanda López,926788922
M-7331,21109773-3,Joaquín Morales Torres,2011-06-03,M,San Pedro de la Paz,3º B,5.5,93,Ninguno,No,Joaquín Contreras,950956225
M-7332,20627520-9,Isidora Hernández Muñoz,2009-09-27,F,Hualpén,3º B,4.3,80,Ninguno,No,Tomás Soto,912553360
M-7333,23181236-4,Catalina Rodríguez Torres,2007-03-17,F,San Pedro de la Paz,3º A,6.6,80,Beca alimentación,No,Matías Hernández,969150345
M-7334,22438477-3,Joaquín Torres Morales,2012-09-06,M,Tomé,1º C,4.2,86,Ninguno,No,Florencia Pérez,926577267
M-7335,22055479-8,Matías Torres Vega,2011-08-13,M,Concepción,3º C,5.9,83,Beca alimentación,No,Sofía Silva,973477678
M-7336,21027779-7,Benjamín Espinoza Araya,2007-08-18,M,Concepción,3º B,4.7,100,Beca alimentación,No,Matías Silva,993126631
M-7337,22356275-9,Isidora Hernández Vega,2009-02-12,F,San Pedro de la Paz,3º A,5.6,81,Retención escolar,No,Josefa Díaz,952951500
M-7338,21273366-8,Diego López Hernández,2010-08-17,M,Concepción,1º C,5.8,82,Ninguno,No,Tomás Díaz,925957596
M-7339,24105170-0,Martín Díaz González,2008-01-25,M,Tomé,2º C,4.8,67,Beca alimentación,No,Gabriel Rojas,982851985
M-7340,23955632-4,Florencia Vega Araya,2009-01-15,F,Tomé,1º C,4.9,83,Ninguno,No,Benjamín Fuentes,984017915
M-7341,21524726-8,Diego Espinoza Vega,2008-07-05,M,Coronel,1º A,5.1,85,Retención escolar,No,Martín Araya,965003070
M-7342,21815907-6,Gabriel López Contreras,2007-11-13,M,Chiguayante,4º C,5.8,83,Ninguno,No,Gabriel Muñoz,983456834
M-7343,24104468-2,Javiera Morales Hernández,2008-04-17,F,Concepción,1º C,5.0,86,Apoyo psicosocial,No,Benjamín González,929144318
M-7344,24369932-5,Florencia Fuentes Soto,2008-08-18,F,Hualpén,3º C,5.5,83,Beca alimentación,No,Lucas Sepúlveda,931504380
M-7345,22115133-6,Diego Torres Silva,2008-03-24,M,Coronel,3º A,4.6,99,Ninguno,No,Gabriel Muñoz,964636394
M-7346,23764849-3,Benjamín Araya Fuentes,2011-08-11,M,San Pedro de la Paz,4º B,5.9,88,Programa de integración (PIE),No,Isidora Sepúlveda,971139831
M-7347,20806987-8,Isidora Hernández Torres,2010-04-27,F,Concepción,3º B,5.7,99,Ninguno,No,Matías Morales,979649866
M-7348,21218311-0,Javiera Díaz González,2007-07-01,F,Talcahuano,3º A,4.5,85,Ninguno,No,Diego Martínez,989627285
M-7349,23762352-0,Catalina Silva Torres,2011-02-16,F,Hualpén,1º C,6.3,81,Ninguno,No,Catalina Fuentes,948185169
M-7350,20568901-8,Diego Torres Muñoz,2010-03-08,M,Penco,1º B,6.6,85,Ninguno,TDAH,Catalina Araya,951470369
M-7351,21808416-5,Florencia Rodríguez Hernández,2011-11-24,F,Hualpén,4º B,4.4,81,Ninguno,No,Agustín Martínez,954792710
M-7352,22326390-5,Matías Araya Sepúlveda,2011-11-17,M,Chiguayante,4º A,6.2,95,Ninguno,No,Emilia Rodríguez,936799505
M-7353,23039045-8,Antonia Martínez Espinoza,2009-01-20,F,Concepción,3º C,5.4,97,Retención escolar,No,Sofía González,930712089
M-7354,20714595-3,Emilia Torres López,2008-01-23,F,Concepción,1º A,5.0,78,Ninguno,No,Matías Sepúlveda,965918839
M-7355,22929698-8,Vicente Morales Fuentes,2011-03-10,M,Tomé,3º B,5.7,95,Ninguno,No,Matías Hernández,979263713
M-7356,23460620-K,Gabriel Vega Muñoz,2007-05-02,M,Hualpén,2º B,5.5,100,Programa de integración (PIE),No,Javiera Flores,911283218
M-7357,24217073-8,Vicente Pérez Araya,2011-10-16,M,Coronel,1º A,5.9,90,Apoyo psicosocial,No,Florencia Espinoza,934631163
M-7358,21833311-4,Matías Muñoz Espinoza,2008-09-13,M,Talcahuano,4º A,6.3,89,Ninguno,No,Antonia Martínez,956232134
M-7359,23798091-9,Amanda Morales Fuentes,2011-01-10,F,Tomé,3º C,5.0,100,Ninguno,No,Josefa Contreras,957615691
M-7360,23358275-7,Diego Araya Martínez,2010-11-04,M,Penco,4º A,4.6,79,Beca alimentación,No,Catalina Contreras,972967434
M-7361,23770899-2,Benjamín Morales Pérez,2007-04-17,M,Concepción,3º B,5.2,87,Programa de integración (PIE),No,Agustín Sepúlveda,940307231
M-7362,20991580-2,Isidora Contreras Espinoza,2009-06-28,F,Talcahuano,4º A,5.5,94,Ninguno,No,Isidora Silva,931156452
M-7363,21500158-7,Javiera Díaz Muñoz,2010-11-01,F,Concepción,3º B,5.9,100,Ninguno,No,Agustín Muñoz,927530847
M-7364,21468975-5,Martín Soto Soto,2012-10-08,M,Talcahuano,2º C,5.1,91,Beca alimentación,No,Joaquín López,913497977
M-7365,22305820-1,Benjamín López Rojas,2011-08-22,M,Concepción,3º C,5.0,82,Ninguno,No,Amanda Soto,929681390
M-7366,22867973-5,Florencia Fuentes Torres,2010-08-12,F,Chiguayante,2º C,4.9,84,Apoyo psicosocial,Trastorno del lenguaje,Benjamín Fuentes,952813255
M-7367,22709091-6,Isidora Silva Morales,2007-05-23,F,Talcahuano,3º A,6.1,88,Retención escolar,Discapacidad visual,Josefa Espinoza,958898353
M-7368,23412532-5,Amanda Flores Pérez,2007-02-23,F,Talcahuano,1º B,5.5,99,Ninguno,No,Vicente Vega,974058398
M-7369,23185337-0,Tomás Rodríguez Pérez,2010-11-12,M,Chiguayante,1º B,6.1,93,Programa de integración (PIE),No,Martín González,969926093
M-7370,20414840-4,Gabriel Vega Rojas,2007-05-07,M,Penco,1º C,5.5,80,Retención escolar,No,Vicente Araya,918660907
M-7371,24014744-5,Martín Díaz Contreras,2007-05-20,M,Chiguayante,2º A,6.3,90,Apoyo psicosocial,No,Joaquín Pérez,925461129
M-7372,22642788-7,Antonia Rodríguez Flores,2011-01-14,F,San Pedro de la Paz,2º A,5.0,80,Apoyo psicosocial,No,Isidora Torres,927882205
M-7373,22751123-7,Tomás Espinoza López,2012-03-06,M,Chiguayante,3º A,4.8,94,Apoyo psicosocial,No,Martín Vega,934418784
M-7374,23009317-8,Vicente Hernández López,2007-11-22,M,Hualpén,4º B,5.2,93,Ninguno,No,Isidora Muñoz,967194806
M-7375,23650724-1,Gabriel Espinoza Silva,2010-05-02,M,Concepción,4º C,6.2,88,Apoyo psicosocial,Discapacidad visual,Amanda Muñoz,968667708
M-7376,22832230-6,Martín Díaz Rodríguez,2011-04-02,M,Concepción,1º A,6.1,100,Programa de integración (PIE),No,Tomás Araya,929276429
M-7377,23500930-2,Gabriel González Sepúlveda,2007-05-17,M,San Pedro de la Paz,2º C,5.6,88,Programa de integración (PIE),No,Diego Díaz,951779309
M-7378,20678735-8,Agustín Pérez Morales,2008-07-20,M,Coronel,2º B,5.7,72,Beca alimentación,No,Martina Contreras,920572976
M-7379,21809681-3,Florencia Rodríguez Sepúlveda,2011-07-09,F,Concepción,3º A,4.2,88,Apoyo psicosocial,No,Tomás González,963327325
M-7380,22498151-8,Isidora Morales Hernández,2008-11-23,F,Chiguayante,4º A,5.3,84,Apoyo psicosocial,No,Vicente Fuentes,947313617
